epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.606,1.49234,2.55936,1.39391,0.5159,0.48507,0.46409,0.30861,1.20235,1.83725,1.18571,0.067039,0.000332939,0.000332939
2,270.081,1.35801,1.80074,1.30297,0.53483,0.49372,0.5362,0.3427,1.22022,2.02515,1.21573,0.0339058,0.000533031,0.000533031
3,400.22,1.26486,1.40951,1.22817,0.68623,0.62024,0.65153,0.4445,1.05703,2.98601,1.09346,0.000639205,0.000599804,0.000599804
4,529.597,1.08086,1.18139,1.14252,0.77112,0.62111,0.69347,0.55863,0.87157,1.57095,1.01357,0.00040006,0.00040006,0.00040006
5,661.138,0.94501,0.98888,1.05557,0.83965,0.66817,0.76801,0.62652,0.75436,1.32706,0.96783,0.00020008,0.00020008,0.00020008
